komentar,timestamp,sentiment
 [sticker],2025-01-25 09:53:30+00:00,positif
happy new york mindra🥰,2024-12-31 17:25:12+00:00,positif
happy new year min,2024-12-31 19:12:35+00:00,positif
"banyk yg pura"" ga liat nanti min 😳",2024-12-31 13:09:31+00:00,negatif
hebat min sedetail itu captionnya🥺 soalnya kalo ga dikaya gitu pasti pada salah paham nih warga +62,2024-12-31 13:04:37+00:00,netral
2025 ganti rakyat🗿🗿🗿 presiden udah bener tinggal rakyatnya aja yg blm,2024-12-31 13:28:11+00:00,negatif
"ga pernah ngeluh atas kebijakan apapun,karena tau Semua nya pasti untuk kebaikan jangka panjang nya",2024-12-31 13:04:38+00:00,netral
"alhamdulillah, terimakasih pak tetap meringankan rakyat kecil. kudu banyak yg tau nih",2024-12-31 12:50:11+00:00,positif
"terimakasih mindra udah memperjelas PPN12% ini jadinya seperti apa dan untuk apa.
titip terimakasih yg banyak min buat pak Presiden",2024-12-31 12:56:50+00:00,negatif
gue replay video ini pake proyektor biar keluarga gue yg pendukung abah itu tau!🙏🏻,2024-12-31 13:50:03+00:00,negatif
"capek banget jadi admin Gerindra, semuanya harus di jelasin ke masyarakat 🤣",2024-12-31 19:00:23+00:00,negatif
tidak peduli org mau ngmong apa tntang bapak... cuma bisa berdoa sehat pnjang umur pak 😊,2024-12-31 13:04:51+00:00,negatif
sebenernya dr awal ppn mw naik 12%. w baca berita jg cuma barang2 mewah/luxury. tp digoreng2 dr harga beras dll bahkan sampe ke harga sportify😭 yg bnr aje lah,2024-12-31 21:23:43+00:00,negatif
"sekedar masukan baik nya setelah ppnbm di berlakukan,pemerintah melakukan sidak harga ke pasar2 soalnya banyak pedagang yg menaikan harga dikarenakan miss informasi..",2024-12-31 13:26:33+00:00,negatif
"pernyataan resmi dari Gerindra seperti ini, tapi medianya masih menggiring opini min, jadi mana yang bener nih",2024-12-31 13:13:20+00:00,netral
yang bilang harga sembako naik ya emng setiap hari besar bahan sembako naik,2024-12-31 15:09:38+00:00,negatif
"pas mereka koar2 soal PPN naik 12% aku diem aja, soalnya masih nunggu penjelasan resmi yang sebenarnya tentang kenaikan PPN ini. dan ternyata, ga seperti yang banyak orang bilang. pokoknya, tetap sehat selalu pak presiden 🤲♥️",2024-12-31 14:35:57+00:00,negatif
"SEMANGAT BAPAK, KITA SELALU MENDOA KAN BAPAK. SEMOGA SEHAT TERUS BAPAK, SAYANG BAPAK ❤️",2024-12-31 13:47:26+00:00,positif
Cukup lengkap admin jelesinnya awas aja pada ga bacaa😣,2024-12-31 13:49:38+00:00,netral
"DI BACA INI PPN hanya berlaku barang mewah, contohnya pesawat pribadi, kapal pesiar, rumah mewah, jadi jangan semua barang naik,",2024-12-31 13:10:35+00:00,negatif
"BACALAH WE.. BARANG MEWAAAH! JANGAN KALIAN PIKIR SEMBAKO PUN BARANG MEWAH. KARENA MAKANAN POKOK SEBENARNYA WAJAR AJA MAHAL, APALAGI CUACA NGGAK BAGUS!",2024-12-31 15:35:16+00:00,negatif
"aku karyawan ritel, jam 8 malem udh cetak harga tgl 1 , tapi tbtb bbrp menit kemudian di hold karna ada revisi. ternyata karna ppn gajadi naik, gpp kerja 2x yg penting gajadi naik. terima kasih pa🙏🏻",2024-12-31 22:36:55+00:00,negatif
min kenapa shopee ku gak ada geratis ongkirnya ya?,2024-12-31 12:57:38+00:00,negatif
rakyat:malu ringan lek😹,2025-01-01 03:56:28+00:00,negatif
gimana tuh yg udah pada demo anjir awokawok😭,2025-01-01 01:30:49+00:00,negatif
ntahlah padahal aku pengangguran tapi kalo liat admin Gerindra cape nya smpe kesini🙂,2024-12-31 23:29:53+00:00,negatif
PASTI BANYAK PIKIRAN PAK PRABOWO🙁🙁,2025-01-01 02:54:25+00:00,positif
"sebenarnya dari kemaren2 sy sudah faham kalo PPN hanya untuk barang mewah,tapi yg sebelah selalu jawabnya efeknya berimbas ke bahan2 pokok jawaban mereka selalu begitu,gak ngerti dah sy...😂",2024-12-31 14:51:56+00:00,negatif
Terima Kasih Pak Prabowo yang sudah memikirkan Rakyat Indonesia.🥰🥰😇,2024-12-31 12:52:02+00:00,negatif
malem taun baru ngapain minn,2024-12-31 12:48:09+00:00,netral
"Min , caption nya sampai ngejelasin segitu nya😭",2024-12-31 14:15:27+00:00,negatif
"Jengkol ma pete kena pajak gk min?
bagiku mereka barang mewah😭",2024-12-31 13:03:28+00:00,negatif
2025 GANTI RAKYAT!!!!,2024-12-31 18:30:29+00:00,positif
"2025 ganti rakyat gak sih min😭 kek cape bnget baca komen,",2024-12-31 23:49:24+00:00,negatif
mindra sudah menguasai elemen apa saja skrg?,2024-12-31 13:22:25+00:00,positif
"byk yg gagal paham dsni,, hrga2 naek tu Dr tahun ke tahun udh ga aneh,, skrg kan Natal+tahun baru, taun dpn ada Imlek,, hari raya besar tu udh ga aneh pst naek,,",2024-12-31 16:05:25+00:00,negatif
"Keknya akhir tahun ini jadi roller coaster buat Admin Gerindra, yang sabar min😅",2024-12-31 16:41:32+00:00,negatif
"anak abah:
pura-pura ga liat",2025-01-01 01:28:43+00:00,positif
"saya pedagang min, nyatanya distributor2 penyuplai barang/jasa sudah mengumumkan kenaikan, pdhl bukan barang mewah.",2024-12-31 14:14:53+00:00,negatif
untuk bayar gaji ratusan menteri 😅,2024-12-31 14:23:03+00:00,positif
turunin harga weekly diamond pass,2024-12-31 18:12:18+00:00,positif
yg bilang sembako naik..bukannya kalo hari besar memang naik..krna permintaan pasar besar tp stok menipis? begitukan konsepnya?,2024-12-31 20:41:13+00:00,negatif
"Padahal jadi 12% bukan naik 12% itupun yg kena orang2 kaya yg ada barang mewahnya, tp yg demo malah yg menengah kebawah yg ga dikenakan pajak 12%, heran",2024-12-31 15:14:48+00:00,negatif
pak prabowo harus jadi persiden selamayh,2025-01-01 21:51:14+00:00,netral
emang ga salah milih pak Prabowo,2024-12-31 14:11:51+00:00,negatif
Yg komen bahan pokok pada naik bukanya setiap tahun baru dan hari raya bahan pokok tuh pada naik ya? Perasaan bukan tahun ini doang deh harga bahan pokok naik,2024-12-31 16:30:31+00:00,negatif
admin gerindra 2 periode😁😁,2024-12-31 12:52:21+00:00,netral
Mohon di baca captionnya ya para netizen🥰,2024-12-31 13:51:51+00:00,negatif
2025 ganti rakyat🙏,2024-12-31 21:23:38+00:00,positif
BACA CAPTION YAGESYA 🔥,2024-12-31 13:03:29+00:00,netral
"Sebenanrya Prabowo ini kelimpahan beban pemerintah sebelumnya yang amburadul, mudah2an bisa berpihak terus ke rakyat pak",2025-01-01 07:06:10+00:00,positif
"Bukannya klo ada hari² tertentu emg kadang sembako naik kan? kyk hari raya atau tahun baru, sembako gini kan emg kadang suka naik bukan karna ppn",2025-01-01 02:53:30+00:00,negatif
aku belum tidur dari 2024 sampai 2025😌,2024-12-31 17:47:10+00:00,negatif
"baru kali ini liat presiden yg langsung sigap rakyat koar² di sosmed minta pembatalan ppn naik + penjelasan
langsung di tanggepin😭🙏 sehat2 bapa",2025-01-01 05:59:57+00:00,negatif
min klo aku nge like vt ini bisa bikin dia balik lagi ke aku gk😔🗿,2024-12-31 12:54:00+00:00,negatif
ada yang ngajak mlm taun baruan ga min? kalo gaada mau saya ajak😂,2024-12-31 12:51:59+00:00,negatif
"ini yang pada komen harga sembako pada naik telor naik beras naik dll lah dri Thun kmrn jg kalau hari raya besar dan tahun baru pada naik, emng kalian pada ga sadar???",2025-01-01 01:46:05+00:00,negatif
"makasi min, suda menjelaskann sngat detail di komen, semoga wrga konoha ini bisa memahami 🙏🏾",2025-01-01 02:34:25+00:00,netral
saya percaya penuh dengan kepemimpinan pak prabowo semoga semua kebijakan yang di buat pemerintah bisa bermanfaat dan meningkatkan kesejahteraan rakyat,2024-12-31 12:50:18+00:00,positif
"ppn naik 12%untuk barng brng yang harganya mnjulang tinggi .
kaya tas spatu jam tangan brand mewah .
mnurut ku nih ya , ini buat orng orng suka beli brang mewah , dan bklan mikir lbih baik. menggunakan brng lokal . lebih mensejahterakan UMKM",2024-12-31 19:03:44+00:00,negatif
untung negara ini di setir gerinda kalo yang sebelah waduh sih,2025-01-01 02:11:27+00:00,negatif
mankanya gua gamau koar koar sebelum berita nya valid,2024-12-31 20:12:53+00:00,negatif
BACA CAPTION WOYYYYY🙏🏻!!,2025-01-01 01:35:49+00:00,positif
anak abah pura² ga liat....,2025-01-01 00:59:05+00:00,negatif
"tolong di pahami, PPn 12% itu hanya naik untuk barang dan jasa mewah yg terdaftar di PPnBM, jadi bukan untuk barang atau jasa umum lainnya yg diluar ppnbm.",2025-01-01 03:28:35+00:00,negatif
"Untuk mimin, dimohon bersabar kalo ada sebagian rakyat bapak yg menolak faham akan pajak ini, mereka belom sembuh dari sakitnya 🙏😌",2025-01-01 03:42:36+00:00,negatif
"lucu bngt sm mahasiswa kampus sebelah di kota ""P"" yg mau demo kenaikan pajak 12% pdhl sudah ditentukan dri awal pajak berlaku hanya untuk barang mewah🙏",2025-01-01 01:16:32+00:00,negatif
"kayu = 5th
ayam = 7th
300T = 6,5th💀
menyala negri ku",2024-12-31 16:31:01+00:00,negatif
turunkan harga chipset mediatek min 🙏,2024-12-31 13:06:46+00:00,positif
"dr dlu mamahku gapernah ngeluh kalo apa2 naik, skrg aku jg nerapin, krn mampu beli gamampu ya gausah dibeli. jd gak dibikin ribet. *kalo aku ya 🙏🏻",2024-12-31 21:32:49+00:00,negatif
"tapi tuh warung"" sembakon tuh pak memanfaat masalah ini hampir semua naik sekali gak abis pikir deh, tapi semoga cuma karena mau tahun baru aja. tapi kalau sampai klar tahun baru masih naik aja harga gak habis fikir sih",2024-12-31 23:14:10+00:00,negatif
pedagang dh kemakan isu ppn naik 12% anjr lah tolong kasih paham ke mereka 😭😭,2024-12-31 23:56:53+00:00,negatif
cape bngt ngedukasi anak abah😭,2025-01-01 11:21:20+00:00,positif
"adminnya bnyk pahalanya, krn sabar trs😭🙏",2024-12-31 20:09:50+00:00,negatif
"Kalau pada mgomomg “kok harga sayur,telur,cabe,bawang naik sih?” Karena nataru weii, abis nataru imlek, abis itu puasa, banyak permintaan tapi barangnya dikit karena blm masa panen, yuk 2025 pinter",2025-01-01 02:52:11+00:00,negatif
"2025 : harus sering membaca, menyimak dan memahami",2025-01-01 01:58:58+00:00,positif
makasih udh sebutin secara jelas di caption min,2025-01-01 04:32:42+00:00,netral
"alhamdulillah kalo emang jadinya PPNBM, semoga gaada oknum yang mengatasnamakan kenaikan ppn dan menaikan harga pangan dan barang barang yang memang tidak terkena dampak PPNBM ini.",2024-12-31 19:18:29+00:00,negatif
"jgn menyerah bpk untuk menjelaskan walaupun rahyat mu msih bnyak yg salah pngertian🙏🙏
sehat trus PAK PRABOWO🙏😇",2025-01-01 02:30:36+00:00,negatif
"Gk sesuai yg dilapangan 😅 udah pada naik juga barang"" dilapangan",2024-12-31 14:27:10+00:00,negatif
yang lucunya PPN naik hanya untuk barang mewah tapi para pengusaha ambil kesempatan untuk menaikkan harga diluar barang mewah. saran min untuk di kawal oleh dinas terkait agar harga tetap stabil,2024-12-31 15:33:54+00:00,netral
"tapi dah pada naik barang2 , tlong turun k pasar tradisional",2024-12-31 12:51:09+00:00,negatif
"yg pada bilang harga sembako tetep naik
emang dr dulu tiap kali menjelang hari raya pasti naik
kemarin natal, sekarang tahun baru, akhir Januari imlek, februari ramadhan, maret nyepi lanjut idul Fitri",2025-01-01 04:07:02+00:00,negatif
"Dear rakyat yg pinter2, kalian mempermasalahkan harga sembako udah naik??? Plissss itu tiap tahun juga naik meskipun gak ada berita ppn naik, kayaknya emang udah dari produsennya aja dinaikin. Soalnya",2025-01-01 23:53:41+00:00,negatif
2025 harus ganti rakyat,2025-01-01 03:33:53+00:00,negatif
"tiga kali saya pilih bapak dan saya hanya ingin melihat bapak memimpin negara ini, dan saya bangga sudah memilih bapak, semoga terus lebih baik lagi☺️",2025-01-01 01:47:18+00:00,negatif
